%coordinate system: J2000 
%epochtime: 2022-03-13T00:00:00
0	2447049.238105835	-4660718.5690546315	3589318.9646263965
1	2447393.879904709	-4660549.794972011	3589325.206570471
2	2447748.032354342	-4660399.123099506	3589345.4157635686
3	2448111.69201644	-4660266.593108453	3589379.48846548
4	2448484.855445563	-4660152.269867616	3589427.2789352
5	2448867.519664789	-4660056.245359495	3589488.598400963
6	2449259.682407093	-4659978.639937198	3589563.214031576
7	2449661.3421368776	-4659919.602963235	3589650.8479351313
8	2450072.4978771918	-4659879.312866103	3589751.17621106
9	2450493.148858437	-4659857.976655336	3589863.8280814085
10	2450923.2940094816	-4659855.8289332725	3589988.3851273456
11	2451362.9313078583	-4659873.1304437	3590124.3806569446
12	2451812.0570112686	-4659910.166195118	3590271.2992300736
13	2452270.664790436	-4659967.243196934	3590428.576366487
14	2452738.7447773353	-4660044.687850429	3590595.5984630105
15	2453216.282555022	-4660142.843029911	3590771.7029457767
16	2453703.2581046065	-4660262.064894926	3590956.178683578
17	2454199.644728722	-4660402.719472505	3591148.2666881853
18	2454705.4079724434	-4660565.179047567	3591347.1611276744
19	2455220.504562035	-4660749.818399815	3591552.0106787016
20	2455744.881376548	-4660957.010928562	3591761.920243716
21	2456278.47479817	-4661187.122221031	3591975.9586802376
22	2456821.208751133	-4661440.514312189	3592193.142631047
23	2457372.9949897365	-4661717.533265426	3592412.45861259
24	2457933.732112771	-4662018.507544242	3592632.8612029394
25	2458503.3050247678	-4662343.744032377	3592853.2772392957
26	2459081.5866543166	-4662693.526615081	3593072.61618627
27	2459668.4307012516	-4663068.104749269	3593289.755706295
28	2460263.6787618743	-4663467.698309789	3593503.5666204155
29	2460867.1585000115	-4663892.492524411	3593712.9129617373
30	2461478.6840994623	-4664342.6356756715	3593916.6579805124
31	2462098.059129012	-4664818.243699111	3594113.66979189
32	2462725.0698638503	-4665319.377298105	3594302.8288049703
33	2463359.493868744	-4665846.063048045	3594483.032241583
34	2464001.09901074	-4666398.287035736	3594653.2002757443
35	2464649.644829025	-4666975.995431953	3594812.281494562
36	2465304.8840872785	-4667579.09980736	3594959.251248303
37	2465966.563995751	-4668207.464294081	3595093.138871466
38	2466634.4280842845	-4668860.922052328	3595213.0088577694
39	2467308.217700746	-4669539.273497544	3595317.970813482
40	2467987.6735886782	-4670242.289105711	3595407.18211497
41	2468672.535635036	-4670969.711140646	3595479.843900984
42	2469362.5503184707	-4671721.261155593	3595535.2230111673
43	2470057.4660034706	-4672496.638854986	3595572.632145615
44	2470757.0358974044	-4673295.526621411	3595591.4360002438
45	2471461.019113956	-4674117.592738836	3595591.050796116
46	2472169.1800117567	-4674962.4907294065	3595570.942362977
47	2472881.294375549	-4675829.875178819	3595530.628197416
48	2473597.144644517	-4676719.391605348	3595469.67238091
49	2474316.5219758386	-4677630.682757343	3595387.6845696555
50	2475039.226584286	-4678563.390895733	3595284.3177328915
51	2475765.067554366	-4679517.157355994	3595159.2680084975
52	2476493.864361057	-4680491.632841947	3595012.264449143
53	2477225.4454756365	-4681486.470493216	3594843.07419816
54	2477959.6486995993	-4682501.329680143	3594651.497640862
55	2478696.321002104	-4683535.877074638	3594437.365842858
56	2479435.3186244196	-4684589.787018505	3594200.540396874
57	2480176.5057017333	-4685662.743943561	3593940.9029503544
58	2480919.755062905	-4686754.441161954	3593658.360925702
59	2481664.9475649144	-4687864.581734317	3593352.8429617602
60	2482411.971730623	-4688992.878687614	3593024.296844396
61	2483160.723797738	-4690139.05556887	3592672.6887834477
62	2483911.1058770637	-4691302.844930831	3592297.9974195403
63	2484663.0270246007	-4692483.989784036	3591900.216319562
64	2485416.402433266	-4693682.243007539	3591479.3512079096
65	2486171.1530585084	-4694897.367148433	3591035.4185558464
66	2486927.205524959	-4696129.134723392	3590568.4446153403
67	2487684.4908476253	-4697377.326064377	3590078.463118912
68	2488442.9450162887	-4698641.730884911	3589565.515327577
69	2489202.5084014046	-4699922.147405913	3589029.648735744
70	2489963.125447036	-4701218.3820191035	3588470.9162024986
71	2490724.7444970077	-4702530.249306086	3587889.3750991784
72	2491487.31711652	-4703857.570445028	3587285.0868436843
73	2492250.7982348907	-4705200.174107794	3586658.11603367
74	2493015.1457842076	-4706557.895752916	3586008.529955103
75	2493780.320472887	-4707930.577290325	3585336.3980838736
76	2494546.2856035666	-4709318.066939533	3584641.7914779685
77	2495313.0067665423	-4710720.218277312	3583924.782949028
78	2496080.45176364	-4712136.890562802	3583185.446151814
79	2496848.590403778	-4713567.948256532	3582423.855443838
80	2497617.3943439685	-4715013.260737154	3581640.0856169537
81	2498386.8369383034	-4716472.7021062095	3580834.2115171044
82	2499156.893112094	-4717946.150667942	3580006.3083359255
83	2499927.539221986	-4719433.488943474	3579156.450936058
84	2500698.7529444066	-4720934.603358444	3578284.7138419054
85	2501470.513164235	-4722449.384021912	3577391.171106123
86	2502242.799862336	-4723977.724537628	3576475.8960937923
87	2503015.594067981	-4725519.521725725	3575538.961732023
88	2503788.877728237	-4727074.675511549	3574580.440080902
89	2504562.633641064	-4728643.088724646	3573600.4023659406
90	2505336.8453828176	-4730224.666929891	3572598.9189204588
91	2506111.49722775	-4731819.318269104	3571576.0590745583
92	2506886.5741312467	-4733426.9533083225	3570531.8913364043
93	2507662.0616274397	-4735047.484898639	3569466.4831437794
94	2508437.9457885036	-4736680.828042778	3568379.900905775
95	2509214.213177231	-4738326.899768825	3567272.20998631
96	2509990.8507907954	-4739985.619005858	3566143.474654982
97	2510767.846056153	-4741656.906494684	3564993.758212171
